Mol_i	Mol_j_nearest	extracted_value	Distance_nm	NN_Distance_nm
1478	858	0.0530899912489414	0.523709	20.779
1480	502	0.0003901289643578	0.587588	28.174
1481	191	0.0837297723070497	0.57235	68.525
1482	1328	0.0068901806189739	0.779835	51.85
1483	923	0.0074932568684113	0.57646	43.076
1485	248	0.0031563380314811	0.774302	9.048
1486	386	0.0320814674697195	0.561419	46.451
1487	1046	0.0093986036751082	0.72481	46.805
1488	843	0.152250383879835	0.499715	5.906
1489	123	0.0006113883441013	0.50224	36.902
1491	146	0.0255260715577791	0.595521	40.221
1493	1078	0.0410504607625302	0.562728	49.299
1494	1140	0.0364457388440535	0.798732	66.927
1495	676	0.0080571861212088	0.653066	83.457
1496	130	0.0335055125712522	0.850613	45.679
1497	59	0.0503642036317829	0.393591	8.58
1498	981	0.0457157675603469	0.476474	28.973
149	1317	0.0765378642615956	0.542366	44.952
1500	341	0.1407315338043457	0.458328	6.107
150	203	0.0246213810685776	0.605906	55.133
151	98	0.0673955690311279	0.478766	17.597
152	954	0.0538407605130416	0.761167	67.847
153	309	0.0607952419674793	0.655502	71.663
154	459	0.0859051777417937	0.650822	30.037
156	1367	0.0130680195256096	0.72224	63.802
158	532	0.1257675477490743	0.568484	44.819
159	928	0.0153224869265526	0.879708	49.281
15	1140	0.0402278844761267	0.602567	63.429
160	180	0.0128675342189448	0.701375	47.915
161	252	0.004262125774353	0.941131	48.647
162	1332	0.0129695188164272	0.565384	76.463
163	310	0.0207124727064553	0.579699	62.793
164	244	0.0154983390623438	0.71963	62.894
165	652	0.0256537473196529	0.726103	48.677
166	820	0.0349813766822924	0.617118	53.536
168	40	0.0153308280174508	0.656426	54.686
16	767	0.0870122684109134	0.570625	50.97
170	1409	0.0216131286700373	0.38995	10.236
171	33	0.0159871129105098	0.447568	21.985
172	814	0.091259221590773	0.570341	25.59
173	429	0.0552806651909267	0.595897	39.059
174	522	0.0290883685418639	0.675543	72.722
175	322	0.0893423310191619	0.634917	26.282
176	232	0.0274962063346045	0.770101	65.33
177	955	0.0071032517381974	0.732167	13.597
178	260	0.0347315617852057	0.6897	20.635
179	1375	0.0120292762756919	0.810555	48.012
17	448	0.0359718727740858	0.543449	38.88
180	657	0.0384758313673642	0.639318	84.367
181	1094	0.025172897150693	0.824001	21.738
182	810	0.0016770809347761	0.70096	17.659
183	928	0.023698913969796	0.859269	4.527
184	572	0.001157017570949	0.657197	50.996
185	240	0.0673295892322428	0.451139	32.912
186	1230	0.0198859851906562	0.496164	25.883
187	1017	0.0558027473869922	0.644621	34.465
188	1081	0.0172311970071736	0.43533	21.028
189	1477	0.0120667230305443	0.846454	61.591
190	453	0.0330277855088733	0.727957	29.265
