,res_id,mid_x,mid_y,mid_z
273,274,10.617,1.2054999999999998,10.8805
274,275,7.523,8.804,5.8535
275,276,4.228,9.7715,3.8465
276,277,4.418,6.928,6.679500000000001
277,278,5.284,10.983,0.721
278,279,0.5965,9.7585,9.426
279,280,10.719999999999999,3.375,3.5835
280,281,8.8705,1.466,2.5415
281,282,0.9975,10.8925,9.702
282,283,4.036,0.16899999999999998,7.156
283,284,10.856,3.6595,5.0785
284,285,6.391,5.273,9.413499999999999
285,286,2.8975,2.3045,9.150500000000001
286,287,1.2429999999999999,6.3740000000000006,7.1129999999999995
287,288,6.4399999999999995,4.5035,8.267
288,289,9.007,1.0114999999999998,9.422
289,290,9.019,5.0395,8.8305
290,291,3.2945,7.538,0.6910000000000001
291,292,1.3885,2.307,2.766
292,293,10.304,9.875499999999999,0.5545
293,294,3.2405,8.467500000000001,4.412000000000001
294,295,2.5915,8.707,1.044
295,296,4.9685,11.201,0.027509999999999923
296,297,6.779999999999999,11.06499,3.532
297,298,6.8445,0.2555,2.5025
298,299,7.1370000000000005,3.041,0.30300000000000005
299,300,7.720000000000001,6.513,8.926
300,301,2.6395,1.3940000000000001,2.6944999999999997
301,302,10.574,6.5565,1.0115
302,303,1.4825,1.8239999999999998,7.54
303,304,6.023,3.5505,1.229
304,305,10.405000000000001,4.184,1.936
305,306,8.7515,4.009,6.7605
306,307,3.15,3.82,2.561
307,308,4.534,5.6135,10.985
308,309,6.5265,9.996,4.0329999999999995
309,310,10.079,8.344000000000001,7.231
310,311,3.16,8.8335,10.2065
311,312,4.2925,6.552,5.547000000000001
312,313,5.8795,5.3605,0.722
313,314,7.0415,2.9615,7.975
314,315,9.7095,9.536,2.3395
315,316,0.489,8.6975,3.319
316,317,8.2055,6.9815000000000005,2.789
317,318,10.6235,7.6015,5.2705
318,319,1.9409999999999998,7.4719999999999995,5.9765
319,320,7.3155,0.775,3.9785
320,321,5.3155,5.416,3.448
321,322,7.6915,2.8819999999999997,0.361
322,323,1.8279999999999998,6.2325,4.114
323,324,1.944,8.257,1.439
324,325,9.96,10.353,1.7575
325,326,0.48850000000000005,3.7815000000000003,7.7885
326,327,9.812999999999999,0.06151000000000023,7.358499999999999
327,328,1.1124999999999998,5.7315000000000005,9.555
328,329,3.2220000000000004,1.9615,6.99
329,330,5.8815,7.1955,2.7439999999999998
330,331,10.1795,5.1805,6.202
331,332,0.12500999999999962,0.004510000000001568,3.2005
332,333,5.8605,7.5035,8.664
333,334,11.24549,7.9704999999999995,4.76
334,335,4.1205,5.304,7.2535
335,336,5.0075,7.596500000000001,10.9205
336,337,4.1265,2.4035,0.3805
337,338,5.7885,4.1445,3.5839999999999996
338,339,11.098,4.993,6.857
339,340,8.5835,7.885999999999999,7.992000000000001
340,341,5.586,10.469000000000001,2.9130000000000003
341,342,2.0995,9.931999999999999,8.292
342,343,0.199,0.5265,5.0825
343,344,6.391,5.151,5.4575
344,345,1.3615,5.32,1.9145
345,346,3.067,6.806,6.4825
346,347,0.29400000000000004,7.059,5.2865
347,348,2.7075,9.1495,6.7905
348,349,1.3085,6.295,5.561999999999999
349,350,2.8665000000000003,0.9635,8.5005
350,351,4.563000000000001,1.6720000000000002,11.12749
351,352,7.7305,0.2165,5.1515
352,353,10.259,5.895,8.803
353,354,5.465,2.2335000000000003,4.9830000000000005
354,355,8.8185,6.5335,5.4665
355,356,0.14100000000000001,1.4525000000000001,5.9575
356,357,3.638,0.24250000000000002,5.6145
357,358,7.7385,1.1095000000000002,9.812000000000001
358,359,1.8435,1.587,0.7
359,360,2.9645,3.1835,0.7545
360,361,10.4865,4.178000000000001,3.2765
361,362,6.1485,3.3785,4.3580000000000005
362,363,10.196000000000002,6.311,4.4285
363,364,7.872,11.0415,2.948
364,365,5.1195,1.6345,9.181000000000001
365,366,5.974500000000001,0.4445,0.2495
366,367,7.6655,6.420999999999999,1.143
367,368,1.708,2.2744999999999997,5.0045
368,369,7.111,6.348,0.37449999999999994
369,370,4.9719999999999995,8.4925,4.566
370,371,5.102,1.754,1.0785
371,372,4.6530000000000005,9.1195,9.8855
372,373,7.501,6.9239999999999995,11.024000000000001
373,374,1.934,7.528499999999999,8.3585
374,375,4.0055,1.6115,1.5825
375,376,9.0775,7.8165,1.391
376,377,2.748,5.0649999999999995,6.563000000000001
377,378,2.089,10.2195,4.337
378,379,10.797,9.8735,3.9605
379,380,10.546,3.865,10.4415
380,381,6.3825,7.314500000000001,9.856
381,382,0.061009999999999565,8.0555,7.6739999999999995
382,383,5.595,0.708,2.502
383,384,5.6,7.484,6.3575
384,385,5.7385,0.0925,8.2395
385,386,11.22749,8.961500000000001,9.620999999999999
386,387,10.506499999999999,3.708,6.468999999999999
387,388,6.13,4.1445,11.0445
388,389,7.032500000000001,2.0995,5.6655
389,390,3.0915,10.972,3.875
390,391,7.346,1.0655000000000001,7.7275
391,392,3.588,5.8945,3.8165
392,393,9.7865,8.934999999999999,3.5155
393,394,4.6635,6.3115000000000006,2.299
394,395,6.6955,7.009,4.8825
395,396,2.8725,4.2515,1.4105
396,397,1.609,0.32699999999999996,4.0735
397,398,5.63,3.9785000000000004,4.452
398,399,0.939,5.1935,7.341
399,400,9.205,9.993,10.261
400,401,6.5295000000000005,9.7355,10.373
401,402,3.7885,4.147,10.1255
402,403,7.826,7.9985,9.166
403,404,1.7565,6.0845,4.538
404,405,3.4915,9.969999999999999,1.154
405,406,1.8445,4.66,3.346
406,407,10.738,8.347000000000001,1.4325
407,408,4.996,6.383,9.3415
408,409,3.6900000000000004,4.164,4.531499999999999
409,410,11.24149,4.06,3.4859999999999998
410,411,3.1225,6.785,1.432
411,412,2.2965,1.0505,4.188000000000001
412,413,5.204000000000001,2.5045,3.9805
413,414,8.423,7.8155,1.5395
414,415,3.5555,4.9715,10.8265
415,416,8.562999999999999,8.469000000000001,0.318
416,417,1.004,3.177,4.862500000000001
417,418,1.158,9.2205,3.1265
418,419,0.42300000000000004,8.727,6.481
419,420,6.2965,8.0485,11.1265
420,421,3.7125000000000004,10.4125,10.096499999999999
421,422,7.6615,8.0395,0.04150999999999941
422,423,6.131,8.311499999999999,4.105499999999999
423,424,8.355,5.560499999999999,8.113
424,425,9.7355,8.2435,4.2375
425,426,8.644,9.9825,9.871500000000001
426,427,1.2745,8.687999999999999,4.016
427,428,3.049,1.4135,5.534
428,429,4.465999999999999,5.293,2.4915
429,430,6.6835,11.243490000000001,4.065
430,431,5.295,3.092,5.7330000000000005
431,432,10.272,2.7575,2.1605
432,433,3.4515000000000002,4.418,3.2795
433,434,6.3305,7.5735,4.2865
434,435,3.7649999999999997,11.18599,10.02
435,436,9.882,6.091,0.998
436,437,0.10500999999999827,10.661,7.8355
437,438,9.905999999999999,10.618,8.1275
438,439,8.948,6.3805,10.1625
439,440,5.767,0.39849999999999997,3.7075
440,441,7.1115,3.802,7.4385
441,442,7.5725,5.407,4.1525
442,443,4.976,10.559999999999999,5.814
443,444,6.766,3.8545,6.5165
444,445,0.258,3.9715,8.183499999999999
445,446,1.7810000000000001,1.2534999999999998,5.275
446,447,9.053,3.9044999999999996,9.9635
447,448,0.293,5.1035,8.665
448,449,3.74,6.577,1.842
449,450,4.23,1.846,8.709
450,451,6.127000000000001,6.34,6.144500000000001
451,452,2.338,3.4415,5.9325
452,453,0.5685,0.872,8.087
453,454,3.556,5.562,9.597
454,455,8.2525,4.0575,10.931000000000001
455,456,5.58,3.9725,1.548
456,457,4.3614999999999995,8.1275,2.2954999999999997
457,458,6.481999999999999,0.3095,10.9775
458,459,3.138,8.567,0.352
459,460,3.37,9.3645,1.3345
460,461,7.564,10.018,5.233
461,462,5.225,1.6285,3.653
462,463,11.1645,6.035,10.212
463,464,9.398,3.4,11.0835
464,465,3.6254999999999997,6.054,8.751
465,466,4.1065,10.204,4.1865000000000006
466,467,7.258,9.0985,5.628
467,468,2.5380000000000003,0.526,7.1345
468,469,1.6709999999999998,5.1675,0.8480000000000001
469,470,10.183499999999999,9.202,4.970000000000001
470,471,2.2995,1.661,0.806
471,472,6.609,6.1434999999999995,7.8004999999999995
472,473,7.032,5.625,0.4515
473,474,10.1735,0.9695,7.008
474,475,7.298,5.916,5.2695
475,476,10.154,0.39349999999999996,5.086
476,477,8.198,3.1905,8.4405
477,478,0.8795,10.5735,7.727
478,479,2.768,5.5885,1.057
479,480,5.122,7.1739999999999995,5.62
480,481,3.004,9.065000000000001,4.5585
481,482,6.071,8.5495,2.934
482,483,7.3245000000000005,1.97,3.0389999999999997
483,484,2.6795,3.1305,7.2364999999999995
